model_a,family_a,model_b,family_b,score,bcs,common_probe_count,char_length_match_rate,byte_length_match_rate,token_type_match_rate,prefix_match_rate,empty_match_rate
Qwen3-1.7B-Local,qwen,Meta-Llama-3.1-8B-Instruct-Local,llama,0.32811,0.32811,500000,0.37107,0.350536,0.907554,0.998448,0.992596
Qwen2.5-7B-Instruct-Local,qwen,Meta-Llama-3-8B-Local,llama,0.325624,0.325624,500000,0.370048,0.361726,0.746604,0.945132,0.929124
Qwen2.5-7B-Instruct-Local,qwen,Meta-Llama-3.1-8B-Local,llama,0.325414,0.325414,500000,0.371734,0.36384,0.745344,0.939962,0.935872
Qwen3-1.7B-Local,qwen,Qwen3.5-9B-Local,qwen,0.319308,0.319308,500000,0.357966,0.340212,0.911816,0.99943,0.997338
Qwen3.5-9B-Base-Local,qwen,Meta-Llama-3.1-8B-Local,llama,0.318978,0.318978,500000,0.365022,0.35424,0.751798,0.945774,0.935544
Qwen3.5-9B-Base-Local,qwen,Meta-Llama-3-8B-Local,llama,0.318708,0.318708,500000,0.362252,0.352042,0.753582,0.950992,0.928828
Qwen3-1.7B-Local,qwen,Qwen3-8B-Local,qwen,0.313256,0.313256,500000,0.366772,0.342666,0.871136,0.981384,0.997614
Qwen2.5-7B-Instruct-Local,qwen,Qwen3-1.7B-Local,qwen,0.312912,0.312912,500000,0.35397,0.335862,0.898012,0.993126,0.997894
Meta-Llama-3-8B-Local,llama,Meta-Llama-3-8B-Instruct-Local,llama,0.310348,0.310348,500000,0.36173,0.354108,0.747516,0.949614,0.928042
Meta-Llama-3-8B-Instruct-Local,llama,Meta-Llama-3.1-8B-Local,llama,0.30935,0.30935,500000,0.363426,0.355722,0.745732,0.9444,0.934462
Qwen2.5-7B-Local,qwen,Meta-Llama-3-8B-Instruct-Local,llama,0.298958,0.298958,500000,0.357166,0.347,0.77578,0.938816,0.974108
Qwen3-8B-Base-Local,qwen,Meta-Llama-3-8B-Instruct-Local,llama,0.29696,0.29696,500000,0.353604,0.34598,0.770002,0.944236,0.958988
Qwen2.5-7B-Local,qwen,Qwen3-1.7B-Local,qwen,0.251856,0.251856,500000,0.3298,0.306362,0.739912,0.939724,0.978104
Qwen3-1.7B-Local,qwen,Qwen3-8B-Base-Local,qwen,0.25087,0.25087,500000,0.326606,0.30367,0.734172,0.945132,0.962912
Qwen3-1.7B-Local,qwen,Meta-Llama-3-8B-Local,llama,0.246866,0.246866,500000,0.320618,0.29746,0.709276,0.95051,0.928314
Qwen3-1.7B-Local,qwen,Meta-Llama-3.1-8B-Local,llama,0.246266,0.246266,500000,0.323252,0.299384,0.707706,0.945288,0.93501
